Segment,Country, Product , Discount Band ,Units Sold, Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales , COGS , Profit ,Date,Month Number, Month Name ,Year
Small Business,Mexico, Montana , None ,958.00,5.00,300.00," $2,87,400.00 ", $-   ," $2,87,400.00 "," $2,39,500.00 ",47900.00,41647.00,8.00, August ,2014.00
Government,Germany, Montana , None ,2146.00,5.00,7.00,15022.00, $-   ,15022.00,10730.00,4292.00,41648.00,9.00, September ,2014.00
Enterprise,Canada, Montana , None ,345.00,5.00,125.00,43125.00, $-   ,43125.00,41400.00,1725.00,41284.00,10.00, October ,2013.00
Midmarket,United States of America, Montana , None ,615.00,5.00,15.00,9225.00, $-   ,9225.00,6150.00,3075.00,41651.00,12.00, December ,2014.00
Government,Canada, Paseo , None ,292.00,10.00,20.00,5840.00, $-   ,5840.00,2920.00,2920.00,41641.00,2.00, February ,2014.00
Midmarket,Mexico, Paseo , None ,974.00,10.00,15.00,14610.00, $-   ,14610.00,9740.00,4870.00,41641.00,2.00, February ,2014.00
Channel Partners,Canada, Paseo , None ,2518.00,10.00,12.00,30216.00, $-   ,30216.00,7554.00,22662.00,41645.00,6.00, June ,2014.00
Government,Germany, Paseo , None ,1006.00,10.00,350.00," $3,52,100.00 ", $-   ," $3,52,100.00 "," $2,61,560.00 ",90540.00,41645.00,6.00, June ,2014.00
Channel Partners,Germany, Paseo , None ,367.00,10.00,12.00,4404.00, $-   ,4404.00,1101.00,3303.00,41646.00,7.00, July ,2014.00
Government,Mexico, Paseo , None ,883.00,10.00,7.00,6181.00, $-   ,6181.00,4415.00,1766.00,41647.00,8.00, August ,2014.00
Midmarket,France, Paseo , None ,549.00,10.00,15.00,8235.00, $-   ,8235.00,5490.00,2745.00,41283.00,9.00, September ,2013.00
Small Business,Mexico, Paseo , None ,788.00,10.00,300.00," $2,36,400.00 ", $-   ," $2,36,400.00 "," $1,97,000.00 ",39400.00,41283.00,9.00, September ,2013.00
Midmarket,Mexico, Paseo , None ,2472.00,10.00,15.00,37080.00, $-   ,37080.00,24720.00,12360.00,41648.00,9.00, September ,2014.00
Government,United States of America, Paseo , None ,1143.00,10.00,7.00,8001.00, $-   ,8001.00,5715.00,2286.00,41649.00,10.00, October ,2014.00
Government,Canada, Paseo , None ,1725.00,10.00,350.00," $6,03,750.00 ", $-   ," $6,03,750.00 "," $4,48,500.00 "," $1,55,250.00 ",41285.00,11.00, November ,2013.00
Channel Partners,United States of America, Paseo , None ,912.00,10.00,12.00,10944.00, $-   ,10944.00,2736.00,8208.00,41285.00,11.00, November ,2013.00
Midmarket,Canada, Paseo , None ,2152.00,10.00,15.00,32280.00, $-   ,32280.00,21520.00,10760.00,41286.00,12.00, December ,2013.00
Government,Canada, Paseo , None ,1817.00,10.00,20.00,36340.00, $-   ,36340.00,18170.00,18170.00,41651.00,12.00, December ,2014.00
Government,Germany, Paseo , None ,1513.00,10.00,350.00," $5,29,550.00 ", $-   ," $5,29,550.00 "," $3,93,380.00 "," $1,36,170.00 ",41651.00,12.00, December ,2014.00
Government,Mexico, Velo , None ,1493.00,120.00,7.00,10451.00, $-   ,10451.00,7465.00,2986.00,41640.00,1.00, January ,2014.00
Enterprise,France, Velo , None ,1804.00,120.00,125.00," $2,25,500.00 ", $-   ," $2,25,500.00 "," $2,16,480.00 ",9020.00,41641.00,2.00, February ,2014.00
Channel Partners,Germany, Velo , None ,2161.00,120.00,12.00,25932.00, $-   ,25932.00,6483.00,19449.00,41642.00,3.00, March ,2014.00
Government,Germany, Velo , None ,1006.00,120.00,350.00," $3,52,100.00 ", $-   ," $3,52,100.00 "," $2,61,560.00 ",90540.00,41645.00,6.00, June ,2014.00
Channel Partners,Germany, Velo , None ,1545.00,120.00,12.00,18540.00, $-   ,18540.00,4635.00,13905.00,41645.00,6.00, June ,2014.00
Enterprise,United States of America, Velo , None ,2821.00,120.00,125.00," $3,52,625.00 ", $-   ," $3,52,625.00 "," $3,38,520.00 ",14105.00,41647.00,8.00, August ,2014.00
Enterprise,Canada, Velo , None ,345.00,120.00,125.00,43125.00, $-   ,43125.00,41400.00,1725.00,41284.00,10.00, October ,2013.00
Small Business,Canada, VTT , None ,2001.00,250.00,300.00," $6,00,300.00 ", $-   ," $6,00,300.00 "," $5,00,250.00 "," $1,00,050.00 ",41641.00,2.00, February ,2014.00
Channel Partners,Germany, VTT , None ,2838.00,250.00,12.00,34056.00, $-   ,34056.00,8514.00,25542.00,41643.00,4.00, April ,2014.00
Midmarket,France, VTT , None ,2178.00,250.00,15.00,32670.00, $-   ,32670.00,21780.00,10890.00,41645.00,6.00, June ,2014.00
Midmarket,Germany, VTT , None ,888.00,250.00,15.00,13320.00, $-   ,13320.00,8880.00,4440.00,41645.00,6.00, June ,2014.00
Government,France, VTT , None ,1527.00,250.00,350.00," $5,34,450.00 ", $-   ," $5,34,450.00 "," $3,97,020.00 "," $1,37,430.00 ",41283.00,9.00, September ,2013.00
Small Business,France, VTT , None ,2151.00,250.00,300.00," $6,45,300.00 ", $-   ," $6,45,300.00 "," $5,37,750.00 "," $1,07,550.00 ",41648.00,9.00, September ,2014.00
Government,Canada, VTT , None ,1817.00,250.00,20.00,36340.00, $-   ,36340.00,18170.00,18170.00,41651.00,12.00, December ,2014.00
Government,France, Amarilla , None ,2750.00,260.00,350.00," $9,62,500.00 ", $-   ," $9,62,500.00 "," $7,15,000.00 "," $2,47,500.00 ",41641.00,2.00, February ,2014.00
Channel Partners,United States of America, Amarilla , None ,1953.00,260.00,12.00,23436.00, $-   ,23436.00,5859.00,17577.00,41643.00,4.00, April ,2014.00
Enterprise,Germany, Amarilla , None ,4219.50,260.00,125.00," $5,27,437.50 ", $-   ," $5,27,437.50 "," $5,06,340.00 ",21097.50,41643.00,4.00, April ,2014.00
Government,France, Amarilla , None ,1899.00,260.00,20.00,37980.00, $-   ,37980.00,18990.00,18990.00,41645.00,6.00, June ,2014.00
Government,Germany, Amarilla , None ,1686.00,260.00,7.00,11802.00, $-   ,11802.00,8430.00,3372.00,41646.00,7.00, July ,2014.00
Channel Partners,United States of America, Amarilla , None ,2141.00,260.00,12.00,25692.00, $-   ,25692.00,6423.00,19269.00,41647.00,8.00, August ,2014.00
Government,United States of America, Amarilla , None ,1143.00,260.00,7.00,8001.00, $-   ,8001.00,5715.00,2286.00,41649.00,10.00, October ,2014.00
Midmarket,United States of America, Amarilla , None ,615.00,260.00,15.00,9225.00, $-   ,9225.00,6150.00,3075.00,41651.00,12.00, December ,2014.00
Government,France, Paseo , Low ,3945.00,10.00,7.00,27615.00,276.15,27338.85,19725.00,7613.85,41640.00,1.00, January ,2014.00
Midmarket,France, Paseo , Low ,2296.00,10.00,15.00,34440.00,344.40,34095.60,22960.00,11135.60,41641.00,2.00, February ,2014.00
Government,France, Paseo , Low ,1030.00,10.00,7.00,7210.00,72.10,7137.90,5150.00,1987.90,41644.00,5.00, May ,2014.00
Government,France, Velo , Low ,639.00,120.00,7.00,4473.00,44.73,4428.27,3195.00,1233.27,41650.00,11.00, November ,2014.00
Government,Canada, VTT , Low ,1326.00,250.00,7.00,9282.00,92.82,9189.18,6630.00,2559.18,41642.00,3.00, March ,2014.00
Channel Partners,United States of America, Carretera , Low ,1858.00,3.00,12.00,22296.00,222.96,22073.04,5574.00,16499.04,41641.00,2.00, February ,2014.00
Government,Mexico, Carretera , Low ,1210.00,3.00,350.00," $4,23,500.00 ",4235.00," $4,19,265.00 "," $3,14,600.00 "," $1,04,665.00 ",41642.00,3.00, March ,2014.00
Government,United States of America, Carretera , Low ,2529.00,3.00,7.00,17703.00,177.03,17525.97,12645.00,4880.97,41646.00,7.00, July ,2014.00
Channel Partners,Canada, Carretera , Low ,1445.00,3.00,12.00,17340.00,173.40,17166.60,4335.00,12831.60,41648.00,9.00, September ,2014.00
Enterprise,United States of America, Carretera , Low ,330.00,3.00,125.00,41250.00,412.50,40837.50,39600.00,1237.50,41283.00,9.00, September ,2013.00
Channel Partners,France, Carretera , Low ,2671.00,3.00,12.00,32052.00,320.52,31731.48,8013.00,23718.48,41648.00,9.00, September ,2014.00
Channel Partners,Germany, Carretera , Low ,766.00,3.00,12.00,9192.00,91.92,9100.08,2298.00,6802.08,41284.00,10.00, October ,2013.00
Small Business,Mexico, Carretera , Low ,494.00,3.00,300.00," $1,48,200.00 ",1482.00," $1,46,718.00 "," $1,23,500.00 ",23218.00,41284.00,10.00, October ,2013.00
Government,Mexico, Carretera , Low ,1397.00,3.00,350.00," $4,88,950.00 ",4889.50," $4,84,060.50 "," $3,63,220.00 "," $1,20,840.50 ",41649.00,10.00, October ,2014.00
Government,France, Carretera , Low ,2155.00,3.00,350.00," $7,54,250.00 ",7542.50," $7,46,707.50 "," $5,60,300.00 "," $1,86,407.50 ",41651.00,12.00, December ,2014.00
Midmarket,Mexico, Montana , Low ,2214.00,5.00,15.00,33210.00,332.10,32877.90,22140.00,10737.90,41642.00,3.00, March ,2014.00
Small Business,United States of America, Montana , Low ,2301.00,5.00,300.00," $6,90,300.00 ",6903.00," $6,83,397.00 "," $5,75,250.00 "," $1,08,147.00 ",41643.00,4.00, April ,2014.00
Government,France, Montana , Low ,1375.50,5.00,20.00,27510.00,275.10,27234.90,13755.00,13479.90,41646.00,7.00, July ,2014.00
Government,Canada, Montana , Low ,1830.00,5.00,7.00,12810.00,128.10,12681.90,9150.00,3531.90,41647.00,8.00, August ,2014.00
Small Business,United States of America, Montana , Low ,2498.00,5.00,300.00," $7,49,400.00 ",7494.00," $7,41,906.00 "," $6,24,500.00 "," $1,17,406.00 ",41283.00,9.00, September ,2013.00
Enterprise,United States of America, Montana , Low ,663.00,5.00,125.00,82875.00,828.75,82046.25,79560.00,2486.25,41284.00,10.00, October ,2013.00
Midmarket,United States of America, Paseo , Low ,1514.00,10.00,15.00,22710.00,227.10,22482.90,15140.00,7342.90,41641.00,2.00, February ,2014.00
Government,United States of America, Paseo , Low ,4492.50,10.00,7.00,31447.50,314.48,31133.03,22462.50,8670.53,41643.00,4.00, April ,2014.00
Enterprise,United States of America, Paseo , Low ,727.00,10.00,125.00,90875.00,908.75,89966.25,87240.00,2726.25,41645.00,6.00, June ,2014.00
Enterprise,France, Paseo , Low ,787.00,10.00,125.00,98375.00,983.75,97391.25,94440.00,2951.25,41645.00,6.00, June ,2014.00
Enterprise,Mexico, Paseo , Low ,1823.00,10.00,125.00," $2,27,875.00 ",2278.75," $2,25,596.25 "," $2,18,760.00 ",6836.25,41646.00,7.00, July ,2014.00
Midmarket,Germany, Paseo , Low ,747.00,10.00,15.00,11205.00,112.05,11092.95,7470.00,3622.95,41648.00,9.00, September ,2014.00
Channel Partners,Germany, Paseo , Low ,766.00,10.00,12.00,9192.00,91.92,9100.08,2298.00,6802.08,41284.00,10.00, October ,2013.00
Small Business,United States of America, Paseo , Low ,2905.00,10.00,300.00," $8,71,500.00 ",8715.00," $8,62,785.00 "," $7,26,250.00 "," $1,36,535.00 ",41650.00,11.00, November ,2014.00
Government,France, Paseo , Low ,2155.00,10.00,350.00," $7,54,250.00 ",7542.50," $7,46,707.50 "," $5,60,300.00 "," $1,86,407.50 ",41651.00,12.00, December ,2014.00
Government,France, Velo , Low ,3864.00,120.00,20.00,77280.00,772.80,76507.20,38640.00,37867.20,41643.00,4.00, April ,2014.00
Government,Mexico, Velo , Low ,362.00,120.00,7.00,2534.00,25.34,2508.66,1810.00,698.66,41644.00,5.00, May ,2014.00
Enterprise,Canada, Velo , Low ,923.00,120.00,125.00," $1,15,375.00 ",1153.75," $1,14,221.25 "," $1,10,760.00 ",3461.25,41647.00,8.00, August ,2014.00
Enterprise,United States of America, Velo , Low ,663.00,120.00,125.00,82875.00,828.75,82046.25,79560.00,2486.25,41284.00,10.00, October ,2013.00
Government,Canada, Velo , Low ,2092.00,120.00,7.00,14644.00,146.44,14497.56,10460.00,4037.56,41285.00,11.00, November ,2013.00
Government,Germany, VTT , Low ,263.00,250.00,7.00,1841.00,18.41,1822.59,1315.00,507.59,41642.00,3.00, March ,2014.00
Government,Canada, VTT , Low ,943.50,250.00,350.00," $3,30,225.00 ",3302.25," $3,26,922.75 "," $2,45,310.00 ",81612.75,41643.00,4.00, April ,2014.00
Enterprise,United States of America, VTT , Low ,727.00,250.00,125.00,90875.00,908.75,89966.25,87240.00,2726.25,41645.00,6.00, June ,2014.00
Enterprise,France, VTT , Low ,787.00,250.00,125.00,98375.00,983.75,97391.25,94440.00,2951.25,41645.00,6.00, June ,2014.00
Small Business,Germany, VTT , Low ,986.00,250.00,300.00," $2,95,800.00 ",2958.00," $2,92,842.00 "," $2,46,500.00 ",46342.00,41648.00,9.00, September ,2014.00
Small Business,Mexico, VTT , Low ,494.00,250.00,300.00," $1,48,200.00 ",1482.00," $1,46,718.00 "," $1,23,500.00 ",23218.00,41284.00,10.00, October ,2013.00
Government,Mexico, VTT , Low ,1397.00,250.00,350.00," $4,88,950.00 ",4889.50," $4,84,060.50 "," $3,63,220.00 "," $1,20,840.50 ",41649.00,10.00, October ,2014.00
Enterprise,France, VTT , Low ,1744.00,250.00,125.00," $2,18,000.00 ",2180.00," $2,15,820.00 "," $2,09,280.00 ",6540.00,41650.00,11.00, November ,2014.00
Channel Partners,United States of America, Amarilla , Low ,1989.00,260.00,12.00,23868.00,238.68,23629.32,5967.00,17662.32,41283.00,9.00, September ,2013.00
Midmarket,France, Amarilla , Low ,321.00,260.00,15.00,4815.00,48.15,4766.85,3210.00,1556.85,41285.00,11.00, November ,2013.00
Enterprise,Canada, Carretera , Low ,742.50,3.00,125.00,92812.50,1856.25,90956.25,89100.00,1856.25,41643.00,4.00, April ,2014.00
Channel Partners,Canada, Carretera , Low ,1295.00,3.00,12.00,15540.00,310.80,15229.20,3885.00,11344.20,41649.00,10.00, October ,2014.00
Small Business,Germany, Carretera , Low ,214.00,3.00,300.00,64200.00,1284.00,62916.00,53500.00,9416.00,41284.00,10.00, October ,2013.00
Government,France, Carretera , Low ,2145.00,3.00,7.00,15015.00,300.30,14714.70,10725.00,3989.70,41285.00,11.00, November ,2013.00
Government,Canada, Carretera , Low ,2852.00,3.00,350.00," $9,98,200.00 ",19964.00," $9,78,236.00 "," $7,41,520.00 "," $2,36,716.00 ",41651.00,12.00, December ,2014.00
Channel Partners,United States of America, Montana , Low ,1142.00,5.00,12.00,13704.00,274.08,13429.92,3426.00,10003.92,41645.00,6.00, June ,2014.00
Government,United States of America, Montana , Low ,1566.00,5.00,20.00,31320.00,626.40,30693.60,15660.00,15033.60,41649.00,10.00, October ,2014.00
Channel Partners,Mexico, Montana , Low ,690.00,5.00,12.00,8280.00,165.60,8114.40,2070.00,6044.40,41650.00,11.00, November ,2014.00
Enterprise,Mexico, Montana , Low ,1660.00,5.00,125.00," $2,07,500.00 ",4150.00," $2,03,350.00 "," $1,99,200.00 ",4150.00,41285.00,11.00, November ,2013.00
Midmarket,Canada, Paseo , Low ,2363.00,10.00,15.00,35445.00,708.90,34736.10,23630.00,11106.10,41641.00,2.00, February ,2014.00
Small Business,France, Paseo , Low ,918.00,10.00,300.00," $2,75,400.00 ",5508.00," $2,69,892.00 "," $2,29,500.00 ",40392.00,41644.00,5.00, May ,2014.00
Small Business,Germany, Paseo , Low ,1728.00,10.00,300.00," $5,18,400.00 ",10368.00," $5,08,032.00 "," $4,32,000.00 ",76032.00,41644.00,5.00, May ,2014.00
Channel Partners,United States of America, Paseo , Low ,1142.00,10.00,12.00,13704.00,274.08,13429.92,3426.00,10003.92,41645.00,6.00, June ,2014.00
Enterprise,Mexico, Paseo , Low ,662.00,10.00,125.00,82750.00,1655.00,81095.00,79440.00,1655.00,41645.00,6.00, June ,2014.00
Channel Partners,Canada, Paseo , Low ,1295.00,10.00,12.00,15540.00,310.80,15229.20,3885.00,11344.20,41649.00,10.00, October ,2014.00
Enterprise,Germany, Paseo , Low ,809.00,10.00,125.00," $1,01,125.00 ",2022.50,99102.50,97080.00,2022.50,41284.00,10.00, October ,2013.00
Enterprise,Mexico, Paseo , Low ,2145.00,10.00,125.00," $2,68,125.00 ",5362.50," $2,62,762.50 "," $2,57,400.00 ",5362.50,41284.00,10.00, October ,2013.00
Channel Partners,France, Paseo , Low ,1785.00,10.00,12.00,21420.00,428.40,20991.60,5355.00,15636.60,41285.00,11.00, November ,2013.00
Small Business,Canada, Paseo , Low ,1916.00,10.00,300.00," $5,74,800.00 ",11496.00," $5,63,304.00 "," $4,79,000.00 ",84304.00,41651.00,12.00, December ,2014.00
Government,Canada, Paseo , Low ,2852.00,10.00,350.00," $9,98,200.00 ",19964.00," $9,78,236.00 "," $7,41,520.00 "," $2,36,716.00 ",41651.00,12.00, December ,2014.00
Enterprise,Canada, Paseo , Low ,2729.00,10.00,125.00," $3,41,125.00 ",6822.50," $3,34,302.50 "," $3,27,480.00 ",6822.50,41651.00,12.00, December ,2014.00
Midmarket,United States of America, Paseo , Low ,1925.00,10.00,15.00,28875.00,577.50,28297.50,19250.00,9047.50,41286.00,12.00, December ,2013.00
Government,United States of America, Paseo , Low ,2013.00,10.00,7.00,14091.00,281.82,13809.18,10065.00,3744.18,41286.00,12.00, December ,2013.00
Channel Partners,France, Paseo , Low ,1055.00,10.00,12.00,12660.00,253.20,12406.80,3165.00,9241.80,41651.00,12.00, December ,2014.00
Channel Partners,Mexico, Paseo , Low ,1084.00,10.00,12.00,13008.00,260.16,12747.84,3252.00,9495.84,41651.00,12.00, December ,2014.00
Government,United States of America, Velo , Low ,1566.00,120.00,20.00,31320.00,626.40,30693.60,15660.00,15033.60,41649.00,10.00, October ,2014.00
Government,Germany, Velo , Low ,2966.00,120.00,350.00," $10,38,100.00 ",20762.00," $10,17,338.00 "," $7,71,160.00 "," $2,46,178.00 ",41284.00,10.00, October ,2013.00
Government,Germany, Velo , Low ,2877.00,120.00,350.00," $10,06,950.00 ",20139.00," $9,86,811.00 "," $7,48,020.00 "," $2,38,791.00 ",41649.00,10.00, October ,2014.00
Enterprise,Germany, Velo , Low ,809.00,120.00,125.00," $1,01,125.00 ",2022.50,99102.50,97080.00,2022.50,41284.00,10.00, October ,2013.00
Enterprise,Mexico, Velo , Low ,2145.00,120.00,125.00," $2,68,125.00 ",5362.50," $2,62,762.50 "," $2,57,400.00 ",5362.50,41284.00,10.00, October ,2013.00
Channel Partners,France, Velo , Low ,1055.00,120.00,12.00,12660.00,253.20,12406.80,3165.00,9241.80,41651.00,12.00, December ,2014.00
Government,Mexico, Velo , Low ,544.00,120.00,20.00,10880.00,217.60,10662.40,5440.00,5222.40,41286.00,12.00, December ,2013.00
Channel Partners,Mexico, Velo , Low ,1084.00,120.00,12.00,13008.00,260.16,12747.84,3252.00,9495.84,41651.00,12.00, December ,2014.00
Enterprise,Mexico, VTT , Low ,662.00,250.00,125.00,82750.00,1655.00,81095.00,79440.00,1655.00,41645.00,6.00, June ,2014.00
Small Business,Germany, VTT , Low ,214.00,250.00,300.00,64200.00,1284.00,62916.00,53500.00,9416.00,41284.00,10.00, October ,2013.00
Government,Germany, VTT , Low ,2877.00,250.00,350.00," $10,06,950.00 ",20139.00," $9,86,811.00 "," $7,48,020.00 "," $2,38,791.00 ",41649.00,10.00, October ,2014.00
Enterprise,Canada, VTT , Low ,2729.00,250.00,125.00," $3,41,125.00 ",6822.50," $3,34,302.50 "," $3,27,480.00 ",6822.50,41651.00,12.00, December ,2014.00
Government,United States of America, VTT , Low ,266.00,250.00,350.00,93100.00,1862.00,91238.00,69160.00,22078.00,41286.00,12.00, December ,2013.00
Government,Mexico, VTT , Low ,1940.00,250.00,350.00," $6,79,000.00 ",13580.00," $6,65,420.00 "," $5,04,400.00 "," $1,61,020.00 ",41286.00,12.00, December ,2013.00
Small Business,Germany, Amarilla , Low ,259.00,260.00,300.00,77700.00,1554.00,76146.00,64750.00,11396.00,41642.00,3.00, March ,2014.00
Small Business,Mexico, Amarilla , Low ,1101.00,260.00,300.00," $3,30,300.00 ",6606.00," $3,23,694.00 "," $2,75,250.00 ",48444.00,41642.00,3.00, March ,2014.00
Enterprise,Germany, Amarilla , Low ,2276.00,260.00,125.00," $2,84,500.00 ",5690.00," $2,78,810.00 "," $2,73,120.00 ",5690.00,41644.00,5.00, May ,2014.00
Government,Germany, Amarilla , Low ,2966.00,260.00,350.00," $10,38,100.00 ",20762.00," $10,17,338.00 "," $7,71,160.00 "," $2,46,178.00 ",41284.00,10.00, October ,2013.00
Government,United States of America, Amarilla , Low ,1236.00,260.00,20.00,24720.00,494.40,24225.60,12360.00,11865.60,41650.00,11.00, November ,2014.00
Government,France, Amarilla , Low ,941.00,260.00,20.00,18820.00,376.40,18443.60,9410.00,9033.60,41650.00,11.00, November ,2014.00
Small Business,Canada, Amarilla , Low ,1916.00,260.00,300.00," $5,74,800.00 ",11496.00," $5,63,304.00 "," $4,79,000.00 ",84304.00,41651.00,12.00, December ,2014.00
Enterprise,France, Carretera , Low ,4243.50,3.00,125.00," $5,30,437.50 ",15913.13," $5,14,524.38 "," $5,09,220.00 ",5304.38,41643.00,4.00, April ,2014.00
Government,Germany, Carretera , Low ,2580.00,3.00,20.00,51600.00,1548.00,50052.00,25800.00,24252.00,41643.00,4.00, April ,2014.00
Small Business,Germany, Carretera , Low ,689.00,3.00,300.00," $2,06,700.00 ",6201.00," $2,00,499.00 "," $1,72,250.00 ",28249.00,41645.00,6.00, June ,2014.00
Channel Partners,United States of America, Carretera , Low ,1947.00,3.00,12.00,23364.00,700.92,22663.08,5841.00,16822.08,41648.00,9.00, September ,2014.00
Channel Partners,Canada, Carretera , Low ,908.00,3.00,12.00,10896.00,326.88,10569.12,2724.00,7845.12,41286.00,12.00, December ,2013.00
Government,Germany, Montana , Low ,1958.00,5.00,7.00,13706.00,411.18,13294.82,9790.00,3504.82,41641.00,2.00, February ,2014.00
Channel Partners,France, Montana , Low ,1901.00,5.00,12.00,22812.00,684.36,22127.64,5703.00,16424.64,41645.00,6.00, June ,2014.00
Government,France, Montana , Low ,544.00,5.00,7.00,3808.00,114.24,3693.76,2720.00,973.76,41648.00,9.00, September ,2014.00
Government,Germany, Montana , Low ,1797.00,5.00,350.00," $6,28,950.00 ",18868.50," $6,10,081.50 "," $4,67,220.00 "," $1,42,861.50 ",41283.00,9.00, September ,2013.00
Enterprise,France, Montana , Low ,1287.00,5.00,125.00," $1,60,875.00 ",4826.25," $1,56,048.75 "," $1,54,440.00 ",1608.75,41651.00,12.00, December ,2014.00
Enterprise,Germany, Montana , Low ,1706.00,5.00,125.00," $2,13,250.00 ",6397.50," $2,06,852.50 "," $2,04,720.00 ",2132.50,41651.00,12.00, December ,2014.00
Small Business,France, Paseo , Low ,2434.50,10.00,300.00," $7,30,350.00 ",21910.50," $7,08,439.50 "," $6,08,625.00 ",99814.50,41640.00,1.00, January ,2014.00
Enterprise,Canada, Paseo , Low ,1774.00,10.00,125.00," $2,21,750.00 ",6652.50," $2,15,097.50 "," $2,12,880.00 ",2217.50,41642.00,3.00, March ,2014.00
Channel Partners,France, Paseo , Low ,1901.00,10.00,12.00,22812.00,684.36,22127.64,5703.00,16424.64,41645.00,6.00, June ,2014.00
Small Business,Germany, Paseo , Low ,689.00,10.00,300.00," $2,06,700.00 ",6201.00," $2,00,499.00 "," $1,72,250.00 ",28249.00,41645.00,6.00, June ,2014.00
Enterprise,Germany, Paseo , Low ,1570.00,10.00,125.00," $1,96,250.00 ",5887.50," $1,90,362.50 "," $1,88,400.00 ",1962.50,41645.00,6.00, June ,2014.00
Channel Partners,United States of America, Paseo , Low ,1369.50,10.00,12.00,16434.00,493.02,15940.98,4108.50,11832.48,41646.00,7.00, July ,2014.00
Enterprise,Canada, Paseo , Low ,2009.00,10.00,125.00," $2,51,125.00 ",7533.75," $2,43,591.25 "," $2,41,080.00 ",2511.25,41649.00,10.00, October ,2014.00
Midmarket,Germany, Paseo , Low ,1945.00,10.00,15.00,29175.00,875.25,28299.75,19450.00,8849.75,41284.00,10.00, October ,2013.00
Enterprise,France, Paseo , Low ,1287.00,10.00,125.00," $1,60,875.00 ",4826.25," $1,56,048.75 "," $1,54,440.00 ",1608.75,41651.00,12.00, December ,2014.00
Enterprise,Germany, Paseo , Low ,1706.00,10.00,125.00," $2,13,250.00 ",6397.50," $2,06,852.50 "," $2,04,720.00 ",2132.50,41651.00,12.00, December ,2014.00
Enterprise,Canada, Velo , Low ,2009.00,120.00,125.00," $2,51,125.00 ",7533.75," $2,43,591.25 "," $2,41,080.00 ",2511.25,41649.00,10.00, October ,2014.00
Small Business,United States of America, VTT , Low ,2844.00,250.00,300.00," $8,53,200.00 ",25596.00," $8,27,604.00 "," $7,11,000.00 "," $1,16,604.00 ",41641.00,2.00, February ,2014.00
Channel Partners,Mexico, VTT , Low ,1916.00,250.00,12.00,22992.00,689.76,22302.24,5748.00,16554.24,41643.00,4.00, April ,2014.00
Enterprise,Germany, VTT , Low ,1570.00,250.00,125.00," $1,96,250.00 ",5887.50," $1,90,362.50 "," $1,88,400.00 ",1962.50,41645.00,6.00, June ,2014.00
Small Business,Canada, VTT , Low ,1874.00,250.00,300.00," $5,62,200.00 ",16866.00," $5,45,334.00 "," $4,68,500.00 ",76834.00,41647.00,8.00, August ,2014.00
Government,Mexico, VTT , Low ,1642.00,250.00,350.00," $5,74,700.00 ",17241.00," $5,57,459.00 "," $4,26,920.00 "," $1,30,539.00 ",41647.00,8.00, August ,2014.00
Midmarket,Germany, VTT , Low ,1945.00,250.00,15.00,29175.00,875.25,28299.75,19450.00,8849.75,41284.00,10.00, October ,2013.00
Government,Canada, Carretera , Low ,831.00,3.00,20.00,16620.00,498.60,16121.40,8310.00,7811.40,41644.00,5.00, May ,2014.00
Government,Mexico, Paseo , Low ,1760.00,10.00,7.00,12320.00,369.60,11950.40,8800.00,3150.40,41283.00,9.00, September ,2013.00
